playlist_name,playlist_last_modified,added_date,track_name,artist_name,album_name,track_uri,track_key
Kpop -hits,2026-03-24,2025-09-29,like JENNIE,JENNIE,Ruby,spotify:track:0fK7ie6XwGxQTIkpFoWkd1,jennie - like jennie
Kpop -hits,2026-03-24,2025-09-29,Golden,HUNTR/X,KPop Demon Hunters,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,huntr/x - golden
Kpop -hits,2026-03-24,2025-09-29,ExtraL (feat. Doechii),JENNIE,Ruby,spotify:track:4EIFwndJvGpgFjsEbNuYif,jennie - extral (feat. doechii)
Kpop -hits,2026-03-24,2025-09-29,Seoul City,JENNIE,Ruby,spotify:track:4zUob9iYFS9TgAR0hgo5pR,jennie - seoul city
Kpop -hits,2026-03-24,2025-09-29,Scott and Zelda,BIBI,EVE: ROMANCE,spotify:track:1MJyiTlVdSLAjI9aclZ3hL,bibi - scott and zelda
Kpop -hits,2026-03-24,2025-09-29,Anti-Romantic,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,spotify:track:44tTqUi3xi7E28QLzHVdUA,tomorrow x together - anti-romantic
Kpop -hits,2026-03-24,2025-09-29,Deja Vu,ATEEZ,ZERO : FEVER Part.3,spotify:track:3zmrdOtnOogqLllz26WLZ3,ateez - deja vu
Kpop -hits,2026-03-24,2025-09-29,Mmmh,KAI,KAI - The 1st Mini Album,spotify:track:5dntGTbUtmUO239wQ0k3yM,kai - mmmh
Kpop -hits,2026-03-24,2025-09-29,Into the I-LAND,I-LAND,Into the I-LAND,spotify:track:18W2OWFsdGCjG7iA4iYpMw,i-land - into the i-land
Kpop -hits,2026-03-24,2025-09-29,PING PONG,HyunA&DAWN,1+1=1,spotify:track:0Z99Xe1lGBmq60RwJ5YU18,hyuna&dawn - ping pong
Kpop -hits,2026-03-24,2025-09-29,ZOO,TAEYONG,2021 Winter SMTOWN : SMCU EXPRESS,spotify:track:7eVu7FI02cTicLEgVtUvwF,taeyong - zoo
Kpop -hits,2026-03-24,2025-09-29,Ice On My Teeth,ATEEZ,GOLDEN HOUR : Part.2,spotify:track:62eDE0RR8Sgh7yw8ZLeyAM,ateez - ice on my teeth
Kpop -hits,2026-03-24,2025-09-29,Crazy Form,ATEEZ,THE WORLD EP.FIN : WILL,spotify:track:2KoeSRTm9cRulYnkaEyUaP,ateez - crazy form
Kpop -hits,2026-03-24,2025-09-29,BOUNCY (K-HOT CHILLI PEPPERS),ATEEZ,THE WORLD EP.2 : OUTLAW,spotify:track:5KyOUICJIvO0z71MBdPGiX,ateez - bouncy (k-hot chilli peppers)
